Date,AMC - Adj Close,BB - Adj Close,GME - Adj Close,KOSS - Adj Close,SNDL - Adj Close,AMC – Volume,BB – Volume,GME – Volume,KOSS – Volume,SNDL – Volume
2021-06-16,55.1800003051758,12.8800001144409,222.970001220703,23.2000007629395,0.990000009536743,166450700,44085000,5564800,655900,162260700
2021-06-17,60.7299995422363,13.5100002288818,223.589996337891,23.8999996185303,0.959999978542328,303576000,43188000,4608600,822100,92439700
2021-06-18,59.2599983215332,12.8999996185303,213.820007324219,22.8199996948242,0.922999978065491,243645900,38351400,4320300,397100,121168700
2021-06-21,55.689998626709,12.8000001907349,200.369995117188,22.75,0.912999987602234,185876100,23253600,5120200,322300,134767900
2021-06-22,58.2700004577637,13.4099998474121,220.399993896484,24,0.892000019550324,169494100,32563300,8200200,970500,88172100
2021-06-23,58.2999992370606,13.1400003433228,219.339996337891,24.7800006866455,1,116291800,22997600,3555100,538900,233328400
2021-06-24,56.7000007629395,12.6800003051758,212.309997558594,23.4899997711182,1,80351200,22159000,3863300,368600,110239900
2021-06-25,54.060001373291,12.1199998855591,209.509994506836,24.6800003051758,0.97000002861023,77596900,36954200,12692700,1770200,109335100
2021-06-28,58.1100006103516,12.8000001907349,213.25,24.2900009155273,0.978999972343445,99310200,31117800,4879400,906100,109725600
2021-06-29,56.4300003051758,12.2399997711182,210.880004882812,23.2900009155273,0.949999988079071,63604100,14336800,2480000,471200,108707700
2021-06-30,56.6800003051758,12.2200002670288,214.139999389648,23.2199993133545,0.949000000953674,59020600,13816700,2539600,452500,85603900
2021-07-01,54.2200012207031,12.1700000762939,204.360000610352,21.8999996185303,0.920000016689301,57549900,12244100,2742100,632100,101550300
2021-07-02,51.9599990844727,11.9899997711182,202.830001831055,21.1900005340576,0.899999976158142,90271500,10363100,2599100,268200,85540600
2021-07-06,49.9599990844727,12.0699996948242,199.559997558594,20.7199993133545,0.889999985694885,62370300,10881200,2768100,246800,64982200
2021-07-07,45.0699996948242,11.4399995803833,190.660003662109,20.1599998474121,0.958000004291534,95320200,12343300,4239500,265900,164869600
2021-07-08,47.939998626709,11.5500001907349,191.380004882813,21.2199993133545,0.89300000667572,145078200,12555800,2857500,359300,101006800
2021-07-09,46.189998626709,11.789999961853,191.229995727539,20.5300006866455,0.890999972820282,57699900,5424700,1579100,150300,93593400
2021-07-12,42.6100006103516,11.25,189.25,20.4899997711182,0.865000009536743,62986400,7346800,1636300,179300,73737600
2021-07-13,39.3499984741211,11.0799999237061,180.059997558594,19.75,0.875,86807300,6825500,2397900,108600,102632700
